world,football,commentisfree,australia-news,sport,uk-news,politics,environment,lifeandstyle,tv-and-radio,media,science,news
world,8.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
football,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commentisfree,2.0,0.0,9.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
australia-news,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
sport,0.0,0.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
uk-news,1.0,0.0,1.0,0.0,0.0,14.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
politics,3.0,0.0,2.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
environment,1.0,0.0,0.0,2.0,1.0,1.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0
lifeandstyle,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0
tv-and-radio,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0
media,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,14.0,0.0,0.0
science,4.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,8.0,0.0
news,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
